id,task_type,explanation_text,original_srta_score,ground_truth
original_170,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'But anyway, the animals would get loose all the time, especially the goats.' and the hypothesis states 'The goats escaped from the barn every day.'. Based on logical analysis, this represents neutral.",,
original_171,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'But anyway, the animals would get loose all the time, especially the goats.' and the hypothesis states 'The goats escaped often.'. Based on logical analysis, this represents entailment.",,
original_172,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'But anyway, the animals would get loose all the time, especially the goats.' and the hypothesis states 'The goats were kept safe and secure.'. Based on logical analysis, this represents contradiction.",,
original_173,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'The doors were locked when we went in.' and the hypothesis states 'All of the doors were open.'. Based on logical analysis, this represents contradiction.",,
original_174,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'The doors were locked when we went in.' and the hypothesis states 'We had the keys with us.'. Based on logical analysis, this represents neutral.",,
original_175,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'The doors were locked when we went in.' and the hypothesis states 'We went in even though the doors were locked.'. Based on logical analysis, this represents entailment.",,
original_176,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I just had to take the totals and try and figure it like that.' and the hypothesis states 'I feel confident that the totals are all I need to get this figured out.'. Based on logical analysis, this represents neutral.",,
original_177,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I just had to take the totals and try and figure it like that.' and the hypothesis states 'I have no clue what to do with just the totals please give me more details to figure out this mess.'. Based on logical analysis, this represents contradiction.",,
original_178,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I just had to take the totals and try and figure it like that.' and the hypothesis states 'I will calculate it based off of the totals.'. Based on logical analysis, this represents entailment.",,
original_179,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'He came, he opened the door and I remember looking back and seeing the expression on his face, and I could tell that he was disappointed.' and the hypothesis states 'He was so excited and bursting with joy that he practically knocked the door off it's frame.'. Based on logical analysis, this represents contradiction.",,
original_180,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'He came, he opened the door and I remember looking back and seeing the expression on his face, and I could tell that he was disappointed.' and the hypothesis states 'He was trying not to make us feel guilty but we knew we had caused him trouble.'. Based on logical analysis, this represents neutral.",,
original_181,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'He came, he opened the door and I remember looking back and seeing the expression on his face, and I could tell that he was disappointed.' and the hypothesis states 'Just by the look on his face when he came through the door I just knew that he was let down.'. Based on logical analysis, this represents entailment.",,
original_182,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So, I don't have any specific stories.' and the hypothesis states 'I dont have a particular store.'. Based on logical analysis, this represents entailment.",,
original_183,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So, I don't have any specific stories.' and the hypothesis states 'I have 1 specific store.'. Based on logical analysis, this represents contradiction.",,
original_184,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So, I don't have any specific stories.' and the hypothesis states 'There are a lot of stores.'. Based on logical analysis, this represents neutral.",,
original_185,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And it was, he never really had to do anything for himself.' and the hypothesis states 'He gets a lot of help.'. Based on logical analysis, this represents entailment.",,
original_186,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And it was, he never really had to do anything for himself.' and the hypothesis states 'He gets help with his meals and clothes.'. Based on logical analysis, this represents neutral.",,
original_187,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And it was, he never really had to do anything for himself.' and the hypothesis states 'He is very independent.'. Based on logical analysis, this represents contradiction.",,
original_188,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I'm like, Oh my gosh, and Ramona was standing there.' and the hypothesis states 'Ramona was on the floor curled up in a fetal position.'. Based on logical analysis, this represents contradiction.",,
original_189,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I'm like, Oh my gosh, and Ramona was standing there.' and the hypothesis states 'Ramona was silently judging me.'. Based on logical analysis, this represents neutral.",,
original_190,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I'm like, Oh my gosh, and Ramona was standing there.' and the hypothesis states 'Ramona was upright while I was there in awe.'. Based on logical analysis, this represents entailment.",,
original_191,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And the fact is she was light!' and the hypothesis states 'She ate a lot of food, but still kept her weight down.'. Based on logical analysis, this represents neutral.",,
original_192,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And the fact is she was light!' and the hypothesis states 'She did not weigh much at all.'. Based on logical analysis, this represents entailment.",,
original_193,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And the fact is she was light!' and the hypothesis states 'She was very happy.'. Based on logical analysis, this represents contradiction.",,
original_194,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I don't know whether he stayed in Augusta after that.' and the hypothesis states 'He continued to live in Augusta even after the attacks.'. Based on logical analysis, this represents neutral.",,
original_195,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I don't know whether he stayed in Augusta after that.' and the hypothesis states 'He continued to live in Augusta.'. Based on logical analysis, this represents entailment.",,
original_196,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I don't know whether he stayed in Augusta after that.' and the hypothesis states 'He moved outside of Augusta right away.'. Based on logical analysis, this represents contradiction.",,
original_197,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'All we done, they never did tell us any place where they was going, even when they left the base to go to somewhere else to stay for a while.' and the hypothesis states 'I never asked where they were going.'. Based on logical analysis, this represents neutral.",,
original_198,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'All we done, they never did tell us any place where they was going, even when they left the base to go to somewhere else to stay for a while.' and the hypothesis states 'They always let us know where they were and where they were going.'. Based on logical analysis, this represents contradiction.",,
original_199,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'All we done, they never did tell us any place where they was going, even when they left the base to go to somewhere else to stay for a while.' and the hypothesis states 'They never told us where they were going.'. Based on logical analysis, this represents entailment.",,
original_200,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'They said, We're paying for a place for you to stay.' and the hypothesis states 'They won't pay for anything forus.'. Based on logical analysis, this represents contradiction.",,
